EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,GBPNZD,NZDJPY,XAUUSD
116684,129957,94519,111041,125338,79061,74449,164095,99224,74772,87922,106162,147501,146220,110318,89767,129756,156579,117512,122745,70579,75280,88553,164150,93433,145225,174385,82796,1241323
116683,129943,94500,111069,125379,79094,74497,164145,99149,74846,87953,106197,147487,146231,110310,89756,129697,156528,117422,122712,70508,75297,88606,164227,93351,145247,174402,82782,1241193
116666,129949,94478,111127,125355,79099,74479,164083,99209,74831,87954,106142,147499,146174,110322,89761,129675,156512,117532,122760,70569,75279,88583,164228,93363,145237,174353,82768,1241413
116640,129931,94464,111110,125340,79105,74515,164122,99179,74668,87943,106175,147428,146209,110334,89722,129664,156472,117480,122757,70603,75380,88576,164129,93379,145243,174292,82768,1241473
116657,129865,94513,111078,125382,79076,74533,164246,99116,74696,87906,106082,147418,146291,110349,89737,129648,156442,117510,122857,70551,75348,88573,164065,93442,145181,174331,82755,1241433
116623,129899,94584,111122,125372,79144,74506,164186,99103,74729,87899,106149,147471,146278,110336,89779,129607,156455,117546,122848,70551,75331,88563,164013,93535,145196,174431,82795,1242053
116633,129900,94532,111099,125360,79145,74519,164184,99149,74785,87888,106187,147468,146236,110342,89774,129572,156350,117543,122832,70622,75347,88588,163781,93444,145078,174337,82834,1242353
116657,129912,94563,111129,125358,79222,74534,164148,99130,74768,87879,106271,147441,146271,110356,89776,129603,156290,117519,122854,70668,75344,88583,164022,93479,145260,174352,82800,1241763
116666,129934,94630,111152,125392,79241,74518,164136,99175,74737,87915,106272,147414,146363,110408,89763,129649,156434,117533,122873,70649,75357,88574,164138,93479,145191,174429,82836,1241623
116660,129965,94588,111148,125391,79243,74474,164149,99195,74794,87960,106299,147382,146383,110369,89788,129603,156638,117521,122898,70666,75359,88624,164006,93450,145184,174474,82792,1241003
116658,129958,94585,111145,125420,79193,74443,164232,99175,74803,87893,106300,147363,146364,110365,89790,129587,156608,117549,122828,70640,75352,88624,164275,93449,145247,174373,82725,1241063
116704,129995,94611,111122,125413,79166,74415,164132,99227,74860,87917,106307,147426,146391,110383,89778,129588,156588,117561,122832,70658,75348,88593,164165,93461,145202,174451,82706,1241593
116700,130005,94612,111100,125386,79141,74396,164027,99247,74858,87904,106308,147360,146388,110374,89777,129590,156516,117506,122877,70674,75382,88577,164207,93461,145157,174528,82744,1241713
