EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,EURUSD,GBPNZD,XAUUSD
108772,122196,99487,104452,99053,76253,71465,160158,101732,75856,79644,106661,142620,145127,108215,89004,113614,152128,104974,121564,71035,74540,78272,162944,93994,127630,108772,170296,1337133
108744,122217,99422,104452,99110,76233,71452,160316,101734,75786,79624,106641,142615,145143,108112,88963,113581,152100,105038,121502,71093,74469,78250,163174,94029,127649,108744,170048,1336613
108893,122374,99343,104427,99147,76410,71470,160268,101786,75901,79789,106869,142492,145072,108177,88978,113717,152291,105106,121566,71063,74546,78375,163225,94028,127785,108893,170172,1335003
108846,122399,99387,104442,99105,76406,71521,160358,101779,75932,79798,106788,142437,145008,108179,88919,113687,152116,105076,121644,71228,74581,78389,163254,94115,127831,108846,170343,1334673
108789,122324,99430,104556,99129,76294,71432,160336,101616,75852,79767,106762,142571,144911,108169,88926,113752,152225,105142,121622,71185,74623,78481,163197,94067,127893,108789,170190,1334403
108747,122237,99642,104550,99173,76377,71461,160408,101630,76098,79848,106835,142363,144720,108360,88957,113698,152108,104907,121794,71231,74851,78551,163275,94135,127795,108747,170306,1334703
108577,121802,99913,104756,99130,76300,71337,160285,101813,76226,79926,106913,142284,144896,108484,89134,113745,152127,104832,121687,71207,74839,78484,163160,94195,127589,108577,170178,1334923
108540,121056,99923,104851,99173,76274,71335,160573,101686,76199,79965,106871,142239,144719,108467,89643,113801,152052,104901,120951,71378,74898,78606,163039,94596,126915,108540,170742,1334733
108587,121322,99625,104625,99154,76322,71412,160496,101887,76032,79848,106833,142260,144982,108182,89496,113612,151988,105003,120855,71333,74597,78351,162970,94571,126921,108587,170382,1335013
108886,121599,99399,104250,99144,76502,71651,160515,101998,76037,79753,106730,142314,145191,108233,89535,113519,151895,104866,120861,71232,74524,78171,163372,94413,126768,108886,170329,1334953
108903,121966,99359,104240,99093,76471,71639,160621,101932,75976,79712,106699,142389,145173,108207,89283,113525,151943,104903,121176,71224,74511,78185,163467,94429,127129,108903,170538,1336433
108932,121739,99418,104283,99087,76455,71646,160747,101948,76005,79726,106672,142455,145267,108299,89468,113600,151976,104878,121025,71221,74528,78187,163490,94370,126949,108932,170893,1337843
108895,121897,99428,104223,99085,76455,71617,160726,102025,76008,79680,106712,142412,145329,108272,89327,113497,151982,104814,121191,71162,74478,78085,163454,94341,127041,108895,170770,1338313
108893,121838,99433,104202,99130,76436,71628,160809,102036,75997,79647,106667,142439,145377,108276,89363,113470,151957,104786,121142,71126,74456,78041,163562,94197,126953,108893,170514,1338623
108880,121890,99433,104210,99080,76460,71626,160750,102069,76016,79677,106688,142368,145358,108264,89321,113469,151926,104791,121178,71203,74449,78046,162538,94291,127003,108880,170601,1338523
108874,121803,99418,104206,99104,76446,71621,160788,102084,75995,79656,106669,142387,145384,108243,89363,113452,151911,104792,121070,71217,74415,78009,163155,94319,126914,108874,170879,1339283
108894,121789,99422,104156,99092,76422,71637,160791,102019,75971,79593,106633,142471,145384,108270,89396,113425,151941,104739,121082,71340,74445,78002,163077,94453,126844,108894,170769,1338593
108858,121751,99462,104162,99064,76493,71643,160978,102122,76076,79675,106728,142288,145347,108275,89396,113395,151872,104707,121090,71379,74469,77998,163148,94493,126817,108858,170901,1338563
108779,121649,99523,104150,99164,76946,71585,160726,102717,76571,80133,107445,141352,145229,108261,89409,113296,151890,104633,121062,71388,74518,77996,163085,94540,126691,108779,170941,1337223
108858,121625,99485,104326,99277,76940,71546,160509,102720,76538,80267,107496,141461,145345,108300,89491,113571,152084,104849,120997,71261,74489,78126,162978,94441,126884,108858,170923,1337203
108895,121635,99454,104281,99209,76924,71588,160509,102672,76496,80215,107411,141540,145358,108305,89517,113561,152044,104839,120965,71305,74480,78109,162994,94464,126836,108895,170829,1337753
108892,121618,99489,104355,99188,76816,71549,160469,102558,76415,80159,107323,141741,145399,108337,89526,113638,152119,104875,120992,71317,74485,78143,163043,94486,126910,108892,170638,1338723
108869,121617,99493,104347,99197,76822,71539,160141,102580,76423,80157,107343,141695,145390,108317,89506,113606,152111,104863,120994,71402,74477,78124,162879,94518,126897,108869,170258,1335533
