EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,GBPNZD,NZDJPY,XAUUSD
127294,160118,94669,108879,111843,87958,78001,182227,98419,83915,96187,112673,143703,141333,120786,78870,137634,161626,114051,152852,75502,85333,97202,180532,89505,174379,201877,84982,1315863
126453,160140,94667,108833,111825,87911,78093,182132,98507,83877,96041,112532,143794,141332,120862,78906,137559,161843,114072,152832,75504,85302,97362,180570,89514,174110,202280,84982,1314819
126378,160022,94685,108794,111911,87878,78114,182083,98436,83720,95770,112470,144038,141369,120890,78907,137592,161749,114017,152844,75542,85373,97460,180499,89641,174240,202318,84667,1315291
126310,159713,94684,108832,111874,87678,77804,181978,98351,83835,95779,112677,143833,141242,120876,78922,137537,161740,114002,152797,75538,85371,97337,180651,89092,174272,202098,84887,1313814
126361,159764,94671,108970,111874,87756,77900,181924,98418,83816,95775,112623,143866,141246,120873,79032,137526,162307,113973,152574,75638,85344,97330,180669,89088,174264,202173,85089,1309518
126377,159848,94667,109085,111915,87737,78007,182005,98502,83853,95676,112455,143807,141294,120879,79008,137497,162001,113963,152623,75622,85332,97310,180856,89032,174241,202447,85028,1309963
126311,159797,94659,108982,111987,87774,78024,181966,98664,83790,95605,112471,143910,141314,120859,78968,137476,161782,114052,152708,75615,85376,97322,180786,89121,174345,202346,84937,1309386
126239,159792,94761,109044,112019,87664,77896,182042,98753,83865,95421,112517,143781,141236,120857,78950,137569,161753,114179,152732,75649,85423,97375,180734,89181,174514,203759,84947,1309170
126244,159700,94721,109053,112060,87674,77902,182116,98790,83914,95627,112520,143701,141168,120863,78887,137710,161935,114067,152850,75645,85447,97365,180672,89111,174574,203813,84971,1308775
126243,159838,94643,109093,112037,87646,77892,181810,98802,83982,95709,112497,143613,141153,120862,78867,137588,161794,114072,152899,75664,85452,97410,180578,89049,174520,204294,85116,1308600
126180,159787,94700,109132,112090,87708,77998,181649,98822,83984,95656,112421,143584,141120,120855,78806,137598,161676,113990,153050,75605,85593,97327,180673,88466,174006,204658,84980,1308816
126073,159761,94646,109173,112010,87665,77845,181551,98861,84251,95592,112591,143093,140850,120881,78775,137491,161470,113934,153080,75628,85501,97362,180637,88448,174264,204571,85169,1308365
125966,159873,94650,109143,112005,87858,78039,181514,98789,84231,95607,112557,143099,140971,120885,78694,137428,161676,113959,153199,75596,85537,97347,180646,88346,174254,204464,85211,1308486
125977,160076,94503,109046,111934,87939,78143,181281,98870,84207,95614,112509,143125,140902,120890,78711,137487,161072,113948,153131,75806,85570,97480,180703,88229,174328,204330,85097,1309205
125887,159849,94513,109017,111947,87931,78062,181219,98797,84171,95714,112622,143234,140894,120873,78623,137443,161009,113801,153297,75788,85644,97326,180817,88230,174257,204332,84933,1309055
125738,160006,94527,109014,111698,87847,77914,181307,98825,84295,95703,112726,143007,140757,120811,78719,137239,161204,113835,153160,75743,85443,97377,180806,88325,174226,204491,85121,1310100
125855,160043,94656,108918,111912,88096,78157,181427,98746,84173,95890,112705,143235,141111,120740,78742,137245,161483,113829,153093,75721,85383,97318,180757,88382,174154,204421,85145,1309456
125869,160249,95365,108955,111840,88010,78154,181364,98804,84255,95896,112585,143076,141181,120783,78769,137230,161182,113764,153067,75600,85334,97385,180973,88396,174040,203948,85344,1307068
125847,160219,95421,108941,111911,88211,78344,181407,98783,84281,95864,112576,143022,141256,120790,78761,137198,161276,113823,153055,75653,85405,97691,180888,88328,174287,203886,85389,1309082
