EURUSD,GBPUSD,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPAUD,AUDCAD,AUDCHF,AUDJPY,AUDNZD,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,CHFJPY,GBPCHF,NZDCHF,CADCHF,CADJPY,GBPCAD,NZDCAD,GBPJPY,GBPNZD,NZDJPY
111876,129306,100898,114356,137102,73582,68307,176355,100864,74143,84088,107684,147806,148989,109648,84018,124178,159027,113271,130441,68859,73583,83400,177523,93578,147859,187055,78073
111861,129302,100905,114334,137087,73585,68317,176303,100872,74133,84144,107667,147633,148996,109642,84034,124187,159072,113291,130441,68919,73575,83393,177475,93660,147826,187041,78099
111891,129294,100920,114305,137092,73583,68295,176334,100863,74161,84130,107682,147683,148974,109640,84046,124209,159023,113249,130437,68908,73571,83375,177487,93651,147783,187044,78105
111864,129291,100921,114331,137105,73570,68246,176348,100857,74244,84106,107687,147670,148970,109655,84044,124284,159006,113250,130447,68886,73574,83380,177484,93630,147812,187042,78096
111875,129288,100901,114306,137090,73523,68269,176360,100856,74227,84111,107665,147661,148988,109655,84042,124255,159046,113251,130452,68902,73568,83343,177472,93643,147767,186916,78087
111881,129279,100892,114309,137087,73526,68280,176348,100812,74227,84036,107660,147667,148999,109653,84047,124226,159141,113258,130462,68920,73576,83347,177489,93651,147777,186916,78016
111875,129286,100886,114287,137111,73536,68293,176311,100815,74231,84044,107660,147684,148972,109639,84047,124250,159066,113305,130470,68903,73539,83342,177507,93638,147771,186918,78044
111871,129306,100887,114282,137138,73554,68250,176302,100816,74237,84038,107704,147760,148988,109641,84038,124200,159069,113291,130465,68866,73541,83355,177552,93593,147771,186909,78042
111855,129309,100878,114325,137135,73537,68274,176368,100823,74228,84058,107670,147728,148963,109634,84022,124186,159040,113293,130456,68888,73540,83348,177515,93621,147813,186874,78054
111847,129296,100886,114309,137119,73536,68311,176300,100841,74192,84068,107663,147744,149033,109633,84030,124189,159143,113271,130437,68886,73540,83341,177522,93625,147807,186870,78032
111861,129308,100886,114301,137093,73567,68303,176150,100838,74197,84055,107671,147712,149023,109627,84027,124186,159090,113239,130447,68897,73520,83341,177515,93627,147820,186867,78050
111830,129325,100876,114288,137154,73567,68312,176148,100875,74191,84089,107668,147753,149026,109626,84037,124239,159015,113205,130456,68848,73493,83324,177544,93608,147778,186848,78086
111787,129310,100843,114258,137150,73579,68344,176141,100880,74204,84077,107660,147747,149026,109628,84027,124216,159029,113261,130449,68870,73468,83279,177532,93638,147738,186815,78069
